NOMS,PUISS,CYLI,CoupleMaxi,LONG,LARG,HAUT,COFFRE,RESE,POIDS,VITE,CONS
ALF 147 1.9 JTD Distinctive,115,1910,28,4.17,1.73,1.44,280,60,1270,191,5.9
ALF 166 2.5 V6 24V Progression,188,2492,22.5,4.72,1.81,1.42,490,72,1490,225,11.9
ASTMAR DB7 Volante,420,5935,55,4.66,1.83,1.26,150,89,1875,265,14
AUD A4 3.0 Quattro Pack,220,2976,30.6,4.55,1.77,1.43,445,66,1515,243,10.5
AUD A8 S8 Pack Avus,360,4172,43.9,5.03,1.88,1.44,525,90,1750,250,14
AUD TT Roadst er 1.8 T225 Quattro,225,1781,28.5,4.04,1.76,1.34,270,55,1395,243,9.2
AUDIA4 Cabriolet 2.4,170,2393,23.4,4.57,1.78,1.39,315,70,1600,224,9.7
BEN Continental T,426,6750,88.2,5.22,1.95,1.45,350,100,2450,245,18.7
BMW 316i,115,1796,17.8,4.47,1.74,1.41,440,63,1310,206,7.1
BMW X5 3.0d Pack Luxe,183,2926,41.8,4.67,1.87,1.71,465,93,2085,200,9.7
BMW Z 8,400,4941,51,4.4,1.83,1.32,203,73,1585,250,14.5
CAD Sev illeSTS,305,4565,40.8,4.99,1.9,1.43,445,70,1857,241,14.1
CHR Grand Voyager 2.5 CRD Limited,140,2500,31.8,5.09,2,1.75,580,75,2000,185,7.7
CHR PT Cruiser 2.0 Classic,140,1995,19,4.29,1.7,1.6,520,57,1412,170,7.8
CIT Berlingo 1.6i 16V SX,110,1587,15.3,4.11,1.72,1.8,664,55,1252,172,7.4
CIT C3 1.4 HDI 70 ch SXPack Clim,70,1398,15.3,3.85,1.67,1.52,305,45,1022,165,4.2
CIT Pic asso 1.6i SX,90,1587,14,4.28,1.75,1.64,515,55,1240,168,7.8
CIT Sax o 1.1i Bic 2,60,1124,9.1,3.72,1.59,1.37,280,45,805,162,6.7
CIT Xsara 2.0 Hdi 110 ch Exclusive,110,1997,26,4.19,1.7,1.4,408,54,1210,191,5.2
DAE Leganza 2.0 CDX,133,1998,18.8,4.67,1.78,1.44,560,65,1433,206,9.2
DAI Sirion 1.3x,102,1298,12.2,3.67,1.59,1.45,235,40,850,180,5.7
FIA Mult ipla JTD 115 ELX,115,1910,20.7,3.99,1.87,1.67,430,63,1370,176,6.4
FIA Seic entoS,55,1108,8.9,3.32,1.51,1.44,170,35,750,150,5.8
FIA St ilo 1.9 JTD 80 ch Active,80,1910,20,4.25,1.76,1.52,335,58,1305,170,5.5
FOR Fiest a 1.4 TDCi Ghia,68,1398,16.3,3.92,1.68,1.42,284,45,1065,164,4.3
FOR Foc us ST 170,172,1989,20,4.17,1.7,1.43,350,55,1283,216,9.1
FOR Ka 1.3 Original,60,1299,10.7,3.62,1.63,1.37,185,42,890,155,6.3
FOR Mondeo 2.0 DTCi 130 ch Ghia,130,1998,33.7,4.73,1.81,1.43,500,56,1501,200,5.9
FOR Pum a 1.6,103,1596,14.8,3.98,1.67,1.34,240,42,1035,190,7.3
HON Ac c ord 2.3iES,152,2254,21,4.59,1.75,1.43,427,65,1423,212,8.7